Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
211,2,2013-01-01,0,0,0,0,a,1
211,3,2013-01-02,12655,1529,1,0,0,1
211,4,2013-01-03,12412,1474,1,0,0,1
211,5,2013-01-04,10752,1297,1,0,0,1
211,6,2013-01-05,11563,1234,1,0,0,0
211,7,2013-01-06,0,0,0,0,0,0
211,1,2013-01-07,20618,2076,1,1,0,0
211,2,2013-01-08,17158,1779,1,1,0,0
211,3,2013-01-09,13806,1564,1,1,0,0
211,4,2013-01-10,13957,1614,1,1,0,0
211,5,2013-01-11,15089,1730,1,1,0,0
211,6,2013-01-12,10229,1194,1,0,0,0
211,7,2013-01-13,0,0,0,0,0,0
211,1,2013-01-14,11924,1539,1,0,0,0
211,2,2013-01-15,11571,1481,1,0,0,0
211,3,2013-01-16,11216,1383,1,0,0,0
211,4,2013-01-17,11447,1485,1,0,0,0
211,5,2013-01-18,10685,1365,1,0,0,0
211,6,2013-01-19,10714,1186,1,0,0,0
211,7,2013-01-20,0,0,0,0,0,0
211,1,2013-01-21,17119,1840,1,1,0,0
211,2,2013-01-22,14982,1654,1,1,0,0
211,3,2013-01-23,13483,1529,1,1,0,0
211,4,2013-01-24,14285,1655,1,1,0,0
211,5,2013-01-25,13712,1649,1,1,0,0
211,6,2013-01-26,9716,1145,1,0,0,0
211,7,2013-01-27,0,0,0,0,0,0
211,1,2013-01-28,11959,1532,1,0,0,0
211,2,2013-01-29,12178,1509,1,0,0,0
211,3,2013-01-30,11494,1422,1,0,0,0
211,4,2013-01-31,13414,1559,1,0,0,0
211,5,2013-02-01,14160,1702,1,0,0,0
211,6,2013-02-02,10489,1170,1,0,0,0
211,7,2013-02-03,0,0,0,0,0,0
211,1,2013-02-04,19149,1967,1,1,0,1
211,2,2013-02-05,17187,1786,1,1,0,1
211,3,2013-02-06,15971,1661,1,1,0,1
211,4,2013-02-07,15018,1678,1,1,0,1
211,5,2013-02-08,13712,1498,1,1,0,1
211,6,2013-02-09,9941,1212,1,0,0,0
