date,store_id,store_city,product_id,product_name,category,units_demanded,units_sold,lost_sales_units,returns_units,stock_on_hand_end,purchase_order_qty,received_qty,unit_price_eur,supplier_unit_cost_eur,revenue_eur,promotion_flag,discount_pct,campaign_flag,holiday_flag,holiday_name,is_weekend,day_of_week,temperature_c,rainfall_mm,competitor_price_eur,lead_time_days,actual_delivery_delay_days,ordering_cost_eur,holding_cost_per_unit_year_eur,service_level_target,price_change_flag,anomaly_flag,anomaly_type
2023-01-01,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,72,72,0,0,192,480,0,1.25,0.78,90.00,0,0,0,1,Nova godina,1,Sunday,8.9,8.0,1.34,2,2,14.00,0.15,0.97,0,0,
2023-01-02,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,58,58,0,0,134,110,0,1.25,0.78,72.50,0,0,0,1,Nova godina,0,Monday,-1.5,7.6,1.35,2,0,14.00,0.15,0.97,0,0,
2023-01-03,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,51,51,0,0,83,50,0,1.25,0.78,63.75,0,0,0,0,,0,Tuesday,6.5,4.1,1.26,2,0,14.00,0.15,0.97,0,0,
2023-01-04,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,52,52,0,0,141,60,110,1.25,0.78,65.00,0,0,0,0,,0,Wednesday,1.1,0.0,1.35,2,1,14.00,0.15,0.97,0,0,
2023-01-05,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,54,54,0,0,617,0,530,1.25,0.78,67.50,0,0,0,0,,0,Thursday,6.0,0.0,1.34,2,0,14.00,0.15,0.97,0,0,
2023-01-06,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,63,63,0,0,554,0,0,1.30,0.78,81.90,0,0,0,0,,0,Friday,8.1,0.0,1.34,2,0,14.00,0.15,0.97,1,0,
2023-01-07,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,56,56,0,0,558,0,60,1.25,0.78,70.00,0,0,0,0,,1,Saturday,5.3,0.0,1.35,2,0,14.00,0.15,0.97,0,0,
2023-01-08,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,65,65,0,0,493,0,0,1.25,0.78,81.25,0,0,0,0,,1,Sunday,7.5,4.6,1.30,2,0,14.00,0.15,0.97,0,0,
2023-01-09,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,61,61,0,0,432,0,0,1.25,0.78,76.25,0,0,1,0,,0,Monday,3.9,3.4,1.27,2,0,14.00,0.15,0.97,0,0,
2023-01-10,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,47,47,0,0,385,0,0,1.26,0.78,59.22,0,0,0,0,,0,Tuesday,3.5,0.0,1.19,2,0,14.00,0.15,0.97,0,0,
2023-01-11,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,71,71,0,0,314,0,0,1.08,0.78,76.68,1,15,0,0,,0,Wednesday,5.8,0.0,1.21,2,0,14.00,0.15,0.97,0,0,
2023-01-12,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,51,51,0,0,263,400,0,1.24,0.78,63.24,0,0,0,0,,0,Thursday,3.1,0.0,1.17,2,1,14.00,0.15,0.97,0,0,
2023-01-13,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,47,47,0,0,216,110,0,1.26,0.78,59.22,0,0,0,0,,0,Friday,7.2,0.0,1.22,2,1,14.00,0.15,0.97,0,0,
2023-01-14,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,70,70,0,2,148,60,0,1.25,0.78,87.50,0,0,0,0,,1,Saturday,6.1,0.0,1.23,2,2,14.00,0.15,0.97,0,0,
2023-01-15,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,57,57,0,0,491,0,400,1.25,0.78,71.25,0,0,0,0,,1,Sunday,5.8,0.0,1.18,2,0,14.00,0.15,0.97,0,0,
2023-01-16,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,51,51,0,0,550,0,110,1.24,0.78,63.24,0,0,0,0,,0,Monday,3.6,3.0,1.28,2,0,14.00,0.15,0.97,0,0,
2023-01-17,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,50,50,0,0,500,0,0,1.25,0.78,62.50,0,0,0,0,,0,Tuesday,8.8,0.0,1.29,2,0,14.00,0.15,0.97,0,0,
2023-01-18,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,48,48,0,0,512,0,60,1.25,0.78,60.00,0,0,0,0,,0,Wednesday,4.8,0.0,1.34,2,0,14.00,0.15,0.97,0,0,
2023-01-19,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,50,50,0,0,462,0,0,1.25,0.78,62.50,0,0,0,0,,0,Thursday,4.0,8.2,1.19,2,0,14.00,0.15,0.97,0,0,
